,did,cid,cname
0,23459,9310202,"015 -001 -Decristo, Jeramy"
1,23459,9310203,"016 -001 -Mukiibi, Elizabeth"
2,23459,9310204,"017 -001 -Adejunmobi, Moradewu"
3,23459,9304058,"050 -ALL -WHITE, E"
4,23459,9310209,099 -000 -The Staff
5,23459,9310210,099 -001 -The Staff
6,23459,9310211,"099 -002 -Miller, Janis"
7,23459,9310212,"099 -003 -Adebanwi, Adewale"
8,23459,9310213,099 -004 -The Staff
9,23459,9310214,099 -005 -The Staff
10,23459,9310215,099 -006 -The Staff
11,23459,9310216,099 -007 -The Staff
12,23459,9310217,099 -008 -The Staff
13,23459,9310218,099 -009 -The Staff
14,23459,9376046,100 -ALL -
15,23459,9310223,"107A -001 -Ng'weno, Bettina"
16,23459,9310224,"107B -001 -White, Elisa"
17,23459,9310225,"107C -001 -Ng'weno, Bettina"
18,23459,9304067,"181 -ALL -WALKER, L"
19,23459,9310230,"190 -001 -King, Nicelma"
20,23459,9310231,192 -000 -The Staff
21,23459,9310232,"192 -001 -Lambert, Laurie"
22,23459,9310233,"192 -003 -Harrison, Milmon"
23,23459,9310234,"192 -004 -Adejunmobi, Moradewu"
24,23459,9310235,197T -000 -The Staff
25,23459,9310236,197T -001 -The Staff
26,23459,9310237,"197T -002 -Turner, Patricia"
27,23459,9310238,"197T -003 -Acham, Christine"
28,23459,9310239,"197T -004 -Adejunmobi, Moradewu"
29,23459,9310240,197T -005 -The Staff
30,23459,9310241,197T -006 -The Staff
31,23459,9310242,197T -007 -The Staff
32,23459,9310243,197T -008 -The Staff
33,23459,9310244,197T -009 -The Staff
34,23459,9310245,198 -000 -The Staff
35,23459,9310246,198 -001 -The Staff
36,23459,9310247,"198 -002 -Turner, Patricia"
37,23459,9310248,198 -003 -The Staff
38,23459,9310249,198 -004 -The Staff
39,23459,9310250,"198 -005 -Adebanwi, Adewale"
40,23459,9310251,"198 -006 -Ng'weno, Bettina"
41,23459,9310252,"198 -007 -Acham, Christine"
42,23459,9310253,"198 -008 -Adejunmobi, Moradewu"
43,23459,9310254,"198 -009 -Harrison, Milmon"
44,23459,9310255,199 -000 -The Staff
45,23459,9310256,199 -001 -The Staff
46,23459,9310257,"199 -002 -White, Elisa"
47,23459,9310258,"199 -003 -Adebanwi, Adewale"
48,23459,9310259,"199 -004 -Miller, Janis"
49,23459,9310260,"199 -005 -Acham, Christine"
50,23459,9310261,"199 -006 -Harrison, Milmon"
51,23459,9310262,"199 -007 -Adejunmobi, Moradewu"
52,23459,9310263,"199 -008 -Ng'weno, Bettina"
53,23459,9310264,"199 -009 -Adejunmobi, Moradewu"
54,23459,9310265,"203 -001 -Ng'weno, Bettina"
55,23459,9310266,298A -000 -The Staff
56,23459,9310267,"298A -001 -Lambert, Laurie"
57,23459,9310268,"298A -002 -Ng'weno, Bettina"
58,23459,9310269,298B -000 -The Staff
59,23459,9310270,"298B -001 -Caro, Timothy"
60,23459,9310271,299 -000 -The Staff
61,23459,9310272,"299 -001 -Acham, Christine"
