,CRN,Course
0,74279,AAS 015
1,74279,AAS 015
2,40181,AAS 016
3,74278,AAS 017
4,74280,AAS 050
5,74280,AAS 050
6,74281,AAS 050
7,74281,AAS 050
8,74283,AAS 050
9,74283,AAS 050
10,74284,AAS 050
11,74284,AAS 050
12,@,AAS 099
13,40192,AAS 100
14,40192,AAS 100
15,40193,AAS 100
16,40193,AAS 100
17,40194,AAS 100
18,40194,AAS 100
19,40195,AAS 100
20,40195,AAS 100
21,74286,AAS 107A
22,74285,AAS 107B
23,74287,AAS 107C
24,40201,AAS 181
25,40201,AAS 181
26,40202,AAS 181
27,40202,AAS 181
28,40203,AAS 181
29,40203,AAS 181
30,40204,AAS 181
31,40204,AAS 181
32,75187,AAS 190
33,@,AAS 192
34,@,AAS 197T
35,@,AAS 198
36,@,AAS 199
37,74930,AAS 203
38,@,AAS 298A
39,@,AAS 298B
40,@,AAS 299
41,40252,ABG 250
42,40253,ABG 290
43,40254,ABG 290
44,40255,ABG 290
45,40256,ABG 290
46,@,ABG 290C
47,@,ABG 298
48,@,ABG 299
49,40371,ABG 300
50,@,ABG 396
51,40384,ABI 050B
52,@,ABI 092
53,@,ABI 098
54,@,ABI 099
55,40403,ABI 103
56,40403,ABI 103
57,40404,ABI 187
58,40404,ABI 187
59,@,ABI 189
60,@,ABI 189D
61,@,ABI 192
62,@,ABI 198
63,@,ABI 199
64,40507,ABT 015
65,40507,ABT 015
66,40508,ABT 015
67,40508,ABT 015
68,40509,ABT 052
69,40509,ABT 052
70,40510,ABT 052
71,40510,ABT 052
72,@,ABT 098
73,@,ABT 099
74,40569,ABT 101
75,40569,ABT 101
76,40570,ABT 101
77,40570,ABT 101
78,40571,ABT 161
79,40572,ABT 165
80,74138,ABT 182
81,74138,ABT 182
82,@,ABT 190C
83,@,ABT 192
84,@,ABT 197T
85,@,ABT 198
86,@,ABT 199
87,@,ABT 289A
88,@,ABT 290C
89,@,ABT 298
90,@,ABT 299
91,40805,ACC 203
92,40806,ACC 213
93,74547,ACC 243
94,40807,ACC 251
95,40808,ACC 261
96,40809,ACC 261
97,@,AED 092
98,@,AED 098
99,@,AED 099
100,40822,AED 100
101,40822,AED 100
102,@,AED 190
103,@,AED 192
104,@,AED 198
105,@,AED 199
106,40837,AED 300
107,40837,AED 300
108,40839,AGC 290
109,40840,AGC 290
110,@,AGC 298
111,@,AGC 299
112,40852,AHI 001B
113,40852,AHI 001B
114,40853,AHI 001B
115,40853,AHI 001B
116,40854,AHI 001B
117,40854,AHI 001B
118,40855,AHI 001B
119,40855,AHI 001B
120,40856,AHI 001B
121,40856,AHI 001B
122,40857,AHI 001B
123,40857,AHI 001B
124,40858,AHI 001B
125,40858,AHI 001B
126,40859,AHI 001B
127,40859,AHI 001B
128,40860,AHI 001B
129,40860,AHI 001B
130,74308,AHI 001D
131,74308,AHI 001D
132,@,AHI 098
133,@,AHI 099
134,74312,AHI 120A
135,75226,AHI 154
136,74311,AHI 186
137,74310,AHI 188B
138,74309,AHI 189
139,40890,AHI 190F
140,74313,AHI 190J
141,@,AHI 192
142,@,AHI 194H
143,@,AHI 198
144,@,AHI 199
145,40933,AHI 200B
146,40934,AHI 200C
147,40935,AHI 290
148,40936,AHI 290
149,@,AHI 292
150,@,AHI 298
151,@,AHI 299
152,@,AHI 396
153,@,AHI 396
