,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: ENL        100F            | ,Section: 001               | ,"Instructor: Brelinski, Valerie | ",Course ID: 53122           | ,Required                 ,WRITING FICTION-TEXT                   ,Author: BURROWAY      ,Edition: 9TH 15 ,Published Date: 2015,ISBN: 9780321923165
1,Term: Winter 18 | ,Name: ENL        100F            | ,Section: 002               | ,"Instructor: Winn, Elise | ",Course ID: 53123           | ,Required                 ,RON CARLSON WRITES A STORY             ,Author: CARLSON       ,Edition: 07     ,Published Date: 2007,ISBN: 9781555974770
2,Term: Winter 18 | ,Name: ENL        100F            | ,Section: 002               | ,"Instructor: Winn, Elise | ",Course ID: 53123           | ,Required                 ,TRUTH ABOUT CELIA                      ,Author: BROCKMEI      ,Edition: 7/2004 ,Published Date: 2004,ISBN: 9780375727702
3,Term: Winter 18 | ,Name: ENL        100NF           | ,Section: 001               | ,"Instructor: Winn, Elise | ",Course ID: 53124           | ,Required                 ,BESTIARY                               ,Author: HOANG         ,Edition: 16     ,Published Date: 2016,ISBN: 9780996316743
4,Term: Winter 18 | ,Name: ENL        100NF           | ,Section: 001               | ,"Instructor: Winn, Elise | ",Course ID: 53124           | ,Required                 ,FIELD GUIDE TO WRITING FLASH NONFICTION,Author: MOORE         ,Edition: 12     ,Published Date: 2012,ISBN: 9780984616664
5,Term: Winter 18 | ,Name: ENL        106             | ,Section: ALL               | ,"Instructor: KITSES, J | ",Course ID:                 | ,Required                 ,MAKING SENSE : THE GLAMOROUS STORY OF E,Author: CRYSTAL       ,Edition: ,Published Date: NA,ISBN: 9780190660574
6,Term: Winter 18 | ,Name: ENL        110A            | ,Section: ALL               | ,"Instructor: STRATTON, M | ",Course ID:                 | ,Required                 ,NORTON ANTH.OF THEORY+CRITICISM        ,Author: LEITCH        ,Edition: 2ND 10 ,Published Date: 2010,ISBN: 9780393932928
7,Term: Winter 18 | ,Name: ENL        113B            | ,Section: ALL               | ,"Instructor: WATERS, C | ",Course ID:                 | ,Required                 ,CANTERBURY TALES                       ,Author: CHAUCER       ,Edition: 05     ,Published Date: 2005,ISBN: 9780140422344
8,Term: Winter 18 | ,Name: ENL        117             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,CYMBELINE (FOLGER)                     ,Author: SHAKESPEARE   ,Edition: 03     ,Published Date: 2003,ISBN: 9780671722593
9,Term: Winter 18 | ,Name: ENL        117             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,HENRY VIII                             ,Author: SHAKESPEARE   ,Edition: 07     ,Published Date: 2007,ISBN: 9780743273305
10,Term: Winter 18 | ,Name: ENL        117             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,PERICLES                               ,Author: SHAKESPEARE   ,Edition: 05     ,Published Date: 2005,ISBN: 9780743273299
11,Term: Winter 18 | ,Name: ENL        117             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,TEMPEST                                ,Author: SHAKESPEARE   ,Edition: 94     ,Published Date: 1994,ISBN: 9780743482837
12,Term: Winter 18 | ,Name: ENL        117             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,WINTER'S TALE                          ,Author: SHAKESPEARE   ,Edition: 05     ,Published Date: 2005,ISBN: 9780743484893
13,Term: Winter 18 | ,Name: ENL        122             | ,Section: ALL               | ,"Instructor: BRANCIFORTE, J | ",Course ID:                 | ,Required                 ,COMPLETE POETRY+ESS.PROSE..JOHN MILTON ,Author: MILTON        ,Edition: 07     ,Published Date: 2007,ISBN: 9780679642534
14,Term: Winter 18 | ,Name: ENL        149             | ,Section: 001               | ,"Instructor: Anderson, Katherine | ",Course ID: 74419           | ,Required                 ,BILLY LYNN'S LONG HALFTIME WALK        ,Author: FOUNTAIN      ,Edition: 12     ,Published Date: 2012,ISBN: 9780060885618
15,Term: Winter 18 | ,Name: ENL        149             | ,Section: 001               | ,"Instructor: Anderson, Katherine | ",Course ID: 74419           | ,Required                 ,BURNT SHADOWS                          ,Author: SHAMSIE       ,Edition: 09     ,Published Date: 2009,ISBN: 9780312551872
16,Term: Winter 18 | ,Name: ENL        149             | ,Section: 001               | ,"Instructor: Anderson, Katherine | ",Course ID: 74419           | ,Required                 ,EXIT WEST                              ,Author: HAMID         ,Edition: 17     ,Published Date: 2017,ISBN: 9780735212176
17,Term: Winter 18 | ,Name: ENL        149             | ,Section: 001               | ,"Instructor: Anderson, Katherine | ",Course ID: 74419           | ,Required                 ,HOW TO FIGHT ISLAMIST TERROR FROM THE  ,Author: TABISH        ,Edition: ,Published Date: NA,ISBN: 9781566569705
