,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: ENL        233             | ,Section: 001               | ,"Instructor: Jerng, Mark | ",Course ID: 75174           | ,Required                 ,I HOTEL                                ,Author: YAMASHITA     ,Edition: 10     ,Published Date: 2010,ISBN: 9781566892391
1,Term: Winter 18 | ,Name: ENL        233             | ,Section: 001               | ,"Instructor: Jerng, Mark | ",Course ID: 75174           | ,Required                 ,MIDNIGHT ROBBER                        ,Author: HOPKINSON     ,Edition: 00     ,Published Date: 2000,ISBN: 9780446675604
2,Term: Winter 18 | ,Name: ENL        233             | ,Section: 001               | ,"Instructor: Jerng, Mark | ",Course ID: 75174           | ,Required                 ,ZONG!                                  ,Author: PHILIP        ,Edition: 08     ,Published Date: 2008,ISBN: 9780819571694
3,Term: Winter 18 | ,Name: ENL        258             | ,Section: 001               | ,"Instructor: Ronda, Margaret | ",Course ID: 74429           | ,Required                 ,"AMERICAN POETRY:NINETEENTH CENTURY,V.2 ",Author: HOLLANDER     ,Edition: 93     ,Published Date: 1993,ISBN: 9780940450783
4,Term: Winter 18 | ,Name: ENL        258             | ,Section: 001               | ,"Instructor: Ronda, Margaret | ",Course ID: 74429           | ,Required                 ,"AMERICAN POETRY:NINETEETH CENTURY,VOL.1",Author: HOLLANDER     ,Edition: 93     ,Published Date: 1993,ISBN: 9780940450608
5,Term: Winter 18 | ,Name: ENL        258             | ,Section: 001               | ,"Instructor: Ronda, Margaret | ",Course ID: 74429           | ,Required                 ,ENVELOPE POEMS                         ,Author: DICKINSON     ,Edition: 16     ,Published Date: 2016,ISBN: 9780811225823
6,Term: Winter 18 | ,Name: ENL        258             | ,Section: 001               | ,"Instructor: Ronda, Margaret | ",Course ID: 74429           | ,Required                 ,SLAVE SONGS OF THE UNITED STATES       ,Author: ALLEN         ,Edition: 95     ,Published Date: 1995,ISBN: 9780486285733
7,Term: Winter 18 | ,Name: ENL        264             | ,Section: 001               | ,"Instructor: Frederickson, Kathle | ",Course ID: 74430           | ,Required                 ,ARTS OF LIVING ON A DAMAGED PLANET : GH,Author: ARTS OF LIVING,Edition: ,Published Date: NA,ISBN: 9781517902377
8,Term: Winter 18 | ,Name: ENL        264             | ,Section: 001               | ,"Instructor: Frederickson, Kathle | ",Course ID: 74430           | ,Required                 ,BIOINSECURITIES: DISEASE INTERVENTIONS ,Author: NEEL          ,Edition: ,Published Date: NA,ISBN: 9780822360636
9,Term: Winter 18 | ,Name: ENL        264             | ,Section: 001               | ,"Instructor: Frederickson, Kathle | ",Course ID: 74430           | ,Required                 ,DELECTABLE NEGRO                       ,Author: WOODARD       ,Edition: ,Published Date: NA,ISBN: 9780814794623
10,Term: Winter 18 | ,Name: ENL        264             | ,Section: 001               | ,"Instructor: Frederickson, Kathle | ",Course ID: 74430           | ,Required                 ,ECONOMIZATION OF LIFE                  ,Author: MURPHY        ,Edition: 2017   ,Published Date: 2017,ISBN: 9780822363453
11,Term: Winter 18 | ,Name: ENL        264             | ,Section: 001               | ,"Instructor: Frederickson, Kathle | ",Course ID: 74430           | ,Required                 ,EXPOSED : ENVIRONMENTAL POLITICS AND PL,Author: ALAIMO        ,Edition: ,Published Date: NA,ISBN: 9780816628384
12,Term: Winter 18 | ,Name: ENL        264             | ,Section: 001               | ,"Instructor: Frederickson, Kathle | ",Course ID: 74430           | ,Required                 ,"FEMINIST,QUEER,CRIP                    ",Author: KAFER         ,Edition: 13     ,Published Date: 2013,ISBN: 9780253009340
13,Term: Winter 18 | ,Name: ENL        264             | ,Section: 001               | ,"Instructor: Frederickson, Kathle | ",Course ID: 74430           | ,Required                 ,"QUEER ECOLOGIES:SEX,NATURE,POLITICS,...",Author: MORTIMER-SANDI,Edition: 10     ,Published Date: 2010,ISBN: 9780253222039
14,Term: Winter 18 | ,Name: ENL        264             | ,Section: 001               | ,"Instructor: Frederickson, Kathle | ",Course ID: 74430           | ,Required                 ,UNDOING MONOGAMY                       ,Author: WILLEY        ,Edition: 16     ,Published Date: 2016,ISBN: 9780822361596
15,Term: Winter 18 | ,Name: ENL        290             | ,Section: 001               | ,"Instructor: Corin, Lucy | ",Course ID: 74431           | ,Required                 ,CALAMITIES                             ,Author: GLADMAN       ,Edition: 16     ,Published Date: 2016,ISBN: 9781940696270
16,Term: Winter 18 | ,Name: ENL        290             | ,Section: 001               | ,"Instructor: Corin, Lucy | ",Course ID: 74431           | ,Required                 ,STORY OF MY TEETH                      ,Author: LUISELLI      ,Edition: 15     ,Published Date: 2015,ISBN: 9781566894098
17,Term: Winter 18 | ,Name: ENL        290             | ,Section: 001               | ,"Instructor: Corin, Lucy | ",Course ID: 74431           | ,Required                 ,THAT WINTER THE WOLF CAME              ,Author: SPAHR         ,Edition: 15     ,Published Date: 2015,ISBN: 9781934639177
