,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: GEO        200BN           | ,Section: 001               | ,"Instructor: Hedao, Prashant | ",Course ID: 56657           | ,Required                 ,MODERN GEOGRAPHICAL THOUGHT            ,Author: PEET          ,Edition: 98     ,Published Date: 1998,ISBN: 9781557863782
1,Term: Winter 18 | ,Name: GEO        200BN           | ,Section: 001               | ,"Instructor: Hedao, Prashant | ",Course ID: 56657           | ,Required                 ,NATURE                                 ,Author: CASTREE       ,Edition: 05     ,Published Date: 2005,ISBN: 9780415339056
2,Term: Winter 18 | ,Name: GEO        200BN           | ,Section: 001               | ,"Instructor: Hedao, Prashant | ",Course ID: 56657           | ,Required                 ,POWER OF MAPS                          ,Author: WOOD          ,Edition: 92     ,Published Date: 1992,ISBN: 9780898624939
3,Term: Winter 18 | ,Name: GEO        200BN           | ,Section: 001               | ,"Instructor: Hedao, Prashant | ",Course ID: 56657           | ,Required                 ,QUESTIONING GEOGRAPHY                  ,Author: CASTREE       ,Edition: 05     ,Published Date: 2005,ISBN: 9781405101929
4,Term: Winter 18 | ,Name: GEO        200BN           | ,Section: 001               | ,"Instructor: Hedao, Prashant | ",Course ID: 56657           | ,Required                 ,"SCIENCE,PHILOSOPHY+PHYSICAL GEOG...    ",Author: INKPEN        ,Edition: 2ND 13 ,Published Date: 2013,ISBN: 9780415679664
5,Term: Winter 18 | ,Name: GEO        200DN           | ,Section: 001               | ,"Instructor: Lacy, William | ",Course ID: 56658           | ,Required                 ,FEMINISM+METHOD                        ,Author: NAPLES        ,Edition: 03     ,Published Date: 2003,ISBN: 9780415944496
6,Term: Winter 18 | ,Name: GEO        200DN           | ,Section: 001               | ,"Instructor: Lacy, William | ",Course ID: 56658           | ,Required                 ,KEY METHODS IN GEOGRAPHY               ,Author: CLIFFORD      ,Edition: 2ND 10 ,Published Date: 2010,ISBN: 9781412935098
7,Term: Winter 18 | ,Name: GEO        200DN           | ,Section: 001               | ,"Instructor: Lacy, William | ",Course ID: 56658           | ,Required                 ,QUALITATIVE INQUIRY+RESEARCH DESIGN    ,Author: CRESWELL      ,Edition: 4TH 18 ,Published Date: 2018,ISBN: 9781506330204
8,Term: Winter 18 | ,Name: GEO        200DN           | ,Section: 001               | ,"Instructor: Lacy, William | ",Course ID: 56658           | ,Required                 ,QUALITATIVE RSRCH.METHODS IN HUMAN GEO.,Author: HAY           ,Edition: 4TH 16 ,Published Date: 2016,ISBN: 9780199010905
9,Term: Winter 18 | ,Name: GER        002             | ,Section: ALL               | ,"Instructor: HARJES, K | ",Course ID:                 | ,Required                 ,DEUTSCH:NA KLAR!                       ,Author: DIDONATO      ,Edition: 7TH 16 ,Published Date: 2016,ISBN: 9780073386355
10,Term: Winter 18 | ,Name: GER        002             | ,Section: ALL               | ,"Instructor: HARJES, K | ",Course ID:                 | ,Required                 ,DEUTSCH:NA KLAR!-WORKBOOK+LAB MANUAL   ,Author: DIDONATO      ,Edition: 7TH 16 ,Published Date: 2016,ISBN: 9781259290831
11,Term: Winter 18 | ,Name: GER        003             | ,Section: 001               | ,"Instructor: Harjes, Kirsten | ",Course ID: 56740           | ,Required                 ,DEUTSCH:NA KLAR!                       ,Author: DIDONATO      ,Edition: 7TH 16 ,Published Date: 2016,ISBN: 9780073386355
12,Term: Winter 18 | ,Name: GER        003             | ,Section: 001               | ,"Instructor: Harjes, Kirsten | ",Course ID: 56740           | ,Required                 ,DEUTSCH:NA KLAR!-WORKBOOK+LAB MANUAL   ,Author: DIDONATO      ,Edition: 7TH 16 ,Published Date: 2016,ISBN: 9781259290831
13,Term: Winter 18 | ,Name: GER        010             | ,Section: 001               | ,"Instructor: Krimmer, Elisabeth | ",Course ID: 74247           | ,Required                 ,CLASSIC FAIRY TALES                    ,Author: TATAR         ,Edition: 2ND 17 ,Published Date: 2017,ISBN: 9780393602975
14,Term: Winter 18 | ,Name: GER        045             | ,Section: ALL               | ,"Instructor: HARJES, K | ",Course ID:                 | ,Required                 ,DRACULA                                ,Author: STOKER        ,Edition: 97     ,Published Date: 1997,ISBN: 9780393970128
