,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,ANDORRA                                ,Author: FRISCH        ,Edition: 64     ,Published Date: 1964,ISBN: 9780413305107
1,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,ANDORRA                                ,Author: FRISCH        ,Edition: 99     ,Published Date: 1999,ISBN: 9783518188088
2,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,ARISTOTLE'S POETICS                    ,Author: ARISTOTLE     ,Edition: 61     ,Published Date: 1961,ISBN: 9780809005277
3,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,DER GESTIEFELTE KATER                  ,Author: TIECK         ,Edition: ,Published Date: NA,ISBN: 9781482760606
4,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,DER HOFMEISTER ODER VORTELILE DER PRIVA,Author: LENZ          ,Edition: ,Published Date: NA,ISBN: 9783518189085
5,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,DIE DREIGROSCHENOPER                   ,Author: BRECHT        ,Edition: 55     ,Published Date: 1955,ISBN: 9783518102299
6,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,INGOLSTADTER STUCKE                    ,Author: FLEISSER      ,Edition: 72     ,Published Date: 1972,ISBN: 9783518369036
7,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,LULU                                   ,Author: WEDEKIND      ,Edition: 89     ,Published Date: 1989,ISBN: 9783150085677
8,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,LULU PLAYS AND OTHER SEX TRAGEDIES     ,Author: WEDEKIND      ,Edition: ,Published Date: NA,ISBN: 9781847494603
9,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,"PLAYS:BEFORE DAYBREAK,WEAVERS,BEAVER...",Author: HAUPTMANN     ,Edition: 94     ,Published Date: 1994,ISBN: 9780826407276
10,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,THEATERSTUCKE                          ,Author: JELINEK       ,Edition: 87     ,Published Date: 1987,ISBN: 9783499129964
11,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,THREE PLAYS                            ,Author: LENZ          ,Edition: 93     ,Published Date: 1993,ISBN: 9781870259330
12,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,THREEPENNY OPERA                       ,Author: BRECHT        ,Edition: 49     ,Published Date: 1949,ISBN: 9780802150394
13,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,VOR SONNENAUFGANG                      ,Author: HAUPTMANN     ,Edition: 03     ,Published Date: 2003,ISBN: 9783548235646
14,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,WOYZECK                                ,Author: BUCHNER       ,Edition: 99     ,Published Date: 1999,ISBN: 9783150180075
15,Term: Winter 18 | ,Name: GER        241             | ,Section: 001               | ,"Instructor: Finney, Gail | ",Course ID: 74255           | ,Required                 ,"WOYZECK,PELLEAS+MELISANDE,UBU ROI      ",Author: MELROSE       ,Edition: 11     ,Published Date: 2011,ISBN: 9780984396474
