,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: GRK        002             | ,Section: 001               | ,"Instructor: Popescu, Valentina | ",Course ID: 57135           | ,Required                 ,LEARN TO READ GREEK:PART 2-W/WORKBOOK  ,Author: KELLER        ,Edition: 12     ,Published Date: 2012,ISBN: 9780300167726
1,Term: Winter 18 | ,Name: GRK        106             | ,Section: 001               | ,"Instructor: Brelinski, Timothy | ",Course ID: 75135           | ,Required                 ,HESIOD'S THEOGONY                      ,Author: HAMILTON      ,Edition: 81     ,Published Date: 1981,ISBN: 9780929524153
2,Term: Winter 18 | ,Name: HDE        100A            | ,Section: 001               | ,"Instructor: Hollis, Nicole | ",Course ID: 57200           | ,Required                 ,DEVELOPMENT OF CHILDREN-TEXT           ,Author: LIGHTFOOT     ,Edition: 7TH 13 ,Published Date: 2013,ISBN: 9781429243285
3,Term: Winter 18 | ,Name: HDE        100A            | ,Section: 001               | ,"Instructor: Hollis, Nicole | ",Course ID: 57200           | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
4,Term: Winter 18 | ,Name: HDE        100B            | ,Section: 001               | ,"Instructor: Guyer, Amanda | ",Course ID: 57201           | ,Required                 ,ADOLESCENCE                            ,Author: STEINBERG     ,Edition: 11TH 17,Published Date: 2017,ISBN: 9781259567827
5,Term: Winter 18 | ,Name: HDE        101             | ,Section: 001               | ,"Instructor: Ribeiro, Julia | ",Course ID: 57203           | ,Required                 ,CHILDREN'S THINKING                    ,Author: SIEGLER       ,Edition: 4TH 05 ,Published Date: 2005,ISBN: 9780131113848
6,Term: Winter 18 | ,Name: HDE        120             | ,Section: ALL               | ,"Instructor: LIU, S | ",Course ID:                 | ,Required                 ,PUBL.MAN.OF AM.PSYCH.ASSOC.(2ND+PRTG)  ,Author: AM.PSYCH.ASSN.,Edition: 6TH 10 ,Published Date: 2010,ISBN: 9781433805615
7,Term: Winter 18 | ,Name: HDE        120             | ,Section: ALL               | ,"Instructor: LIU, S | ",Course ID:                 | ,Special Order Only       ,RESEARCH METHODS                       ,Author: WHITE         ,Edition: 9TH 13 ,Published Date: 2013,ISBN: 9781111840624
8,Term: Winter 18 | ,Name: HDE        140             | ,Section: ALL               | ,"Instructor: BOWER, A | ",Course ID:                 | ,Required                 ,THEORIES OF ATTACHMENT                 ,Author: MOONEY        ,Edition: 10     ,Published Date: 2010,ISBN: 9781933653389
9,Term: Winter 18 | ,Name: HDE        140             | ,Section: ALL               | ,"Instructor: BOWER, A | ",Course ID:                 | ,Optional                 ,ANTHROPOLOGY OF CHILDHOOD              ,Author: LANCY         ,Edition: 2ND 15 ,Published Date: 2015,ISBN: 9781107420984
10,Term: Winter 18 | ,Name: HDE        140             | ,Section: ALL               | ,"Instructor: BOWER, A | ",Course ID:                 | ,Optional                 ,DEVELOPING MIND                        ,Author: SIEGEL        ,Edition: 2ND 12 ,Published Date: 2012,ISBN: 9781462520671
11,Term: Winter 18 | ,Name: HDE        140             | ,Section: ALL               | ,"Instructor: BOWER, A | ",Course ID:                 | ,Optional                 ,SOCIOLOGY OF CHILDHOOD                 ,Author: CORSARO       ,Edition: 5TH 18 ,Published Date: 2018,ISBN: 9781506339900
12,Term: Winter 18 | ,Name: HDE        140             | ,Section: ALL               | ,"Instructor: BOWER, A | ",Course ID:                 | ,Optional                 ,TANGLED WING                           ,Author: KONNER        ,Edition: 02     ,Published Date: 2002,ISBN: 9780805072792
