,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: ITA        002             | ,Section: ALL               | ,"Instructor: GROSSI, J | ",Course ID:                 | ,Required                 ,PIAZZA:STUDENT ED.-W/ILRN ACCESS       ,Author: MELUCCI       ,Edition: 15     ,Published Date: 2015,ISBN: 9781285074818
1,Term: Winter 18 | ,Name: ITA        031             | ,Section: 001               | ,"Instructor: Gomez, Carmen | ",Course ID: 74227           | ,Required                 ,PIAZZA:STUDENT ED.-W/ILRN ACCESS       ,Author: MELUCCI       ,Edition: 15     ,Published Date: 2015,ISBN: 9781285074818
2,Term: Winter 18 | ,Name: ITA        115B            | ,Section: 001               | ,"Instructor: Schiesari, Juliana | ",Course ID: 74257           | ,Required                 ,I DRAMMI DE' BOSCHI E DELLE MARINE OSSI,"Author: TASSO, GUARINI",Edition: 2010   ,Published Date: 2010,ISBN: 9781178200546
3,Term: Winter 18 | ,Name: ITA        115B            | ,Section: 001               | ,"Instructor: Schiesari, Juliana | ",Course ID: 74257           | ,Required                 ,IL PRINCIPE/PRINCE (ITALIAN/ENG.TEXT)  ,Author: MACHIAVELLI   ,Edition: 13     ,Published Date: 2013,ISBN: 9781909669055
4,Term: Winter 18 | ,Name: ITA        115B            | ,Section: 001               | ,"Instructor: Schiesari, Juliana | ",Course ID: 74257           | ,Required                 ,IL SERVITORE DI DUE PADRONI            ,Author: GOLDONI       ,Edition: ,Published Date: NA,ISBN: 9788811810469
5,Term: Winter 18 | ,Name: ITA        115B            | ,Section: 001               | ,"Instructor: Schiesari, Juliana | ",Course ID: 74257           | ,Required                 ,LA LOCANDIERA                          ,Author: GOLDONI       ,Edition: 2010   ,Published Date: 2010,ISBN: 9781144266354
6,Term: Winter 18 | ,Name: ITA        115B            | ,Section: 001               | ,"Instructor: Schiesari, Juliana | ",Course ID: 74257           | ,Required                 ,"LA MANDRAGOLA, LA CLIZIA, BELFAGOR     ",Author: MACHIAVELLI   ,Edition: 2010   ,Published Date: 2010,ISBN: 9781176761230
7,Term: Winter 18 | ,Name: JPN        002             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,GENKI I:INTEG.CRSE.ELEM.JAP.-WKBK.W/CD ,Author: BANNO         ,Edition: 2ND 11 ,Published Date: 2011,ISBN: 9784789014410
8,Term: Winter 18 | ,Name: JPN        002             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,GENKI I:INTEG.CRSE.ELEM.JAPANESE-W/CD  ,Author: BANNO         ,Edition: 2ND 11 ,Published Date: 2011,ISBN: 9784789014403
9,Term: Winter 18 | ,Name: JPN        005             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,GENKI II:INTEG.CRSE.ELEM.JAPANESE-W/CD ,Author: BANNO         ,Edition: 2ND 11 ,Published Date: 2011,ISBN: 9784789014434
10,Term: Winter 18 | ,Name: JPN        005             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,GENKI II:WORKBOOK-W/CD                 ,Author: BANNO         ,Edition: 2ND 11 ,Published Date: 2011,ISBN: 9784789014441
11,Term: Winter 18 | ,Name: JPN        005             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,KODANSHA KANJI LEARNER'S DICT.REV.+EXP.,Author: HALPERN       ,Edition: 13     ,Published Date: 2013,ISBN: 9781568364070
12,Term: Winter 18 | ,Name: JPN        103             | ,Section: 001               | ,"Instructor: Suzuki, Michiko | ",Course ID: 75329           | ,Required                 ,BLACK RAIN                             ,Author: IBUSE         ,Edition: 12     ,Published Date: 2012,ISBN: 9781568364179
13,Term: Winter 18 | ,Name: JPN        103             | ,Section: 001               | ,"Instructor: Suzuki, Michiko | ",Course ID: 75329           | ,Required                 ,KOKORO                                 ,Author: SOSEKI        ,Edition: 10     ,Published Date: 2010,ISBN: 9780143106036
14,Term: Winter 18 | ,Name: JPN        109             | ,Section: 001               | ,"Instructor: Foster, Michael | ",Course ID: 74704           | ,Required                 ,BAREFOOT GEN:CARTOON STORY...VOLUME ONE,Author: NAKAZAWA      ,Edition: 04     ,Published Date: 2004,ISBN: 9780867196023
15,Term: Winter 18 | ,Name: JPN        109             | ,Section: 001               | ,"Instructor: Foster, Michael | ",Course ID: 74704           | ,Required                 ,BIRTH OF KITARO                        ,Author: MIZUKI;       ,Edition: ,Published Date: NA,ISBN: 9781770462281
16,Term: Winter 18 | ,Name: JPN        112             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,TOBIRA                                 ,Author: MAYUMI        ,Edition: 11     ,Published Date: 2011,ISBN: 9784874244470
17,Term: Winter 18 | ,Name: JPN        112             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,TOBIRA:POWER UP YOUR KANJI             ,Author: OKA           ,Edition: 10     ,Published Date: 2010,ISBN: 9784874244876
18,Term: Winter 18 | ,Name: JPN        112             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,KODANSHA KANJI LEARNER'S DICT.REV.+EXP.,Author: HALPERN       ,Edition: 13     ,Published Date: 2013,ISBN: 9781568364070
19,Term: Winter 18 | ,Name: JPN        151             | ,Section: 001               | ,"Instructor: Koyama, Nobuko | ",Course ID: 59756           | ,Required                 ,INTRO.TO JAPANESE LINGUISTICS          ,Author: TSUJIMURA     ,Edition: 3RD 14 ,Published Date: 2014,ISBN: 9781444337730
20,Term: Winter 18 | ,Name: LAT        002             | ,Section: ALL               | ,"Instructor: RUNDIN, J | ",Course ID:                 | ,Required                 ,READING LATIN:GRAMMAR+EXERCISES        ,Author: JONES         ,Edition: 2ND 16 ,Published Date: 2016,ISBN: 9781107632264
21,Term: Winter 18 | ,Name: LAT        002             | ,Section: ALL               | ,"Instructor: RUNDIN, J | ",Course ID:                 | ,Required                 ,READING LATIN:TEXT+VOCABULARY          ,Author: JONES         ,Edition: 2ND 16 ,Published Date: 2016,ISBN: 9781107618701
22,Term: Winter 18 | ,Name: LAT        119             | ,Section: 001               | ,"Instructor: Stem, Stephen | ",Course ID: 74619           | ,Required                 ,GALLIC WAR (9540268)                   ,Author: CAESAR        ,Edition: 96     ,Published Date: 1996,ISBN: 9780199540266
23,Term: Winter 18 | ,Name: LAT        119             | ,Section: 001               | ,"Instructor: Stem, Stephen | ",Course ID: 74619           | ,Required                 ,JULIUS CAESAR: COMMENTARIES            ,Author: STEM          ,Edition: ,Published Date: NA,ISBN: 9780979971389
24,Term: Winter 18 | ,Name: LAT        120             | ,Section: 001               | ,"Instructor: Haynes, Justin | ",Course ID: 59839           | ,Required                 ,PLINY THE ELDER - THE NATURAL HISTO    ,Author: PLINY         ,Edition: ,Published Date: NA,ISBN: 9781472535665
25,Term: Winter 18 | ,Name: LDA        030             | ,Section: ALL               | ,"Instructor: BOULTS, E | ",Course ID:                 | ,Required                 ,ILLUSTRATED HISTORY OF LANDSCAPE DESIGN,Author: BOULTS        ,Edition: 10     ,Published Date: 2010,ISBN: 9780470289334
26,Term: Winter 18 | ,Name: LDA        070             | ,Section: ALL               | ,"Instructor: YUI, S | ",Course ID:                 | ,Required                 ,FORM+FABRIC IN LANDSCAPE ARCHITECTURE  ,Author: DEE           ,Edition: 01     ,Published Date: 2001,ISBN: 9780415246385
27,Term: Winter 18 | ,Name: LDA        170             | ,Section: 001               | ,Instructor: The Staff | ,Course ID: 59871           | ,Required                 ,LANDSCAPE ANALYSIS : READING AND UNDERS,"Author: STAHSCHMIDT, P",Edition: ,Published Date: NA,ISBN: 9781138927155
28,Term: Winter 18 | ,Name: LDA        170             | ,Section: 001               | ,Instructor: The Staff | ,Course ID: 59871           | ,Required                 ,LANDSCAPE THEORY IN DESIGN             ,"Author: HERRINGTON, SU",Edition: ,Published Date: NA,ISBN: 9780415705943
29,Term: Winter 18 | ,Name: LDA        170             | ,Section: 002               | ,"Instructor: Yui, Sahoko | ",Course ID: 59872           | ,Required                 ,LANDSCAPE ANALYSIS : READING AND UNDERS,"Author: STAHSCHMIDT, P",Edition: ,Published Date: NA,ISBN: 9781138927155
30,Term: Winter 18 | ,Name: LDA        170             | ,Section: 002               | ,"Instructor: Yui, Sahoko | ",Course ID: 59872           | ,Required                 ,LANDSCAPE THEORY IN DESIGN             ,"Author: HERRINGTON, SU",Edition: ,Published Date: NA,ISBN: 9780415705943
31,Term: Winter 18 | ,Name: LIN        001             | ,Section: A01               | ,Instructor: CHRIS GRAHAM | ,Course ID:                 | ,Required                 ,INTRO.TO LANGUAGE                      ,Author: FROMKIN       ,Edition: 10TH 14,Published Date: 2014,ISBN: 9781133310686
32,Term: Winter 18 | ,Name: LIN        026             | ,Section: 001               | ,"Instructor: Hatzakos, Catherine | ",Course ID: 60003           | ,Required                 ,ACADEMIC WRITING FOR GRADUATE STUDENTS ,Author: SWALES        ,Edition: 3RD 12 ,Published Date: 2012,ISBN: 9780472034758
33,Term: Winter 18 | ,Name: LIN        111             | ,Section: ALL               | ,"Instructor: ZELLOU, G | ",Course ID:                 | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
34,Term: Winter 18 | ,Name: LIN        160             | ,Section: ALL               | ,"Instructor: BAYLEY, R | ",Course ID:                 | ,Required                 ,AMERICAN ENGLISH                       ,Author: WOLFRAM       ,Edition: 3RD 16 ,Published Date: 2016,ISBN: 9781118390221
35,Term: Winter 18 | ,Name: LIN        177             | ,Section: 001               | ,"Instructor: GRAHAM, C | ",Course ID:                 | ,Required                 ,COMPUTATIONAL INTRO.TO LINGUISTICS     ,Author: OJEDA         ,Edition: 13     ,Published Date: 2013,ISBN: 9781575866598
36,Term: Winter 18 | ,Name: LIN        182             | ,Section: 001               | ,"Instructor: Notarianni Burk, Gab | ",Course ID: 74881           | ,Required                 ,BILINGUALISM READER                    ,Author: WEI           ,Edition: 2ND 08 ,Published Date: 2008,ISBN: 9780415355551
37,Term: Winter 18 | ,Name: LIN        205B            | ,Section: ALL               | ,"Instructor: ARANOVICH, R | ",Course ID:                 | ,Required                 ,MORPHOLOGY:FROM DATA TO THEORIES       ,Author: FABREGAS      ,Edition: 12     ,Published Date: 2012,ISBN: 9780748643134
