,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: MAT        205A            | ,Section: 001               | ,"Instructor: Romik, Dan | ",Course ID: 60744           | ,Optional                 ,COMPLEX ANALYSIS                       ,Author: STEIN         ,Edition: 03     ,Published Date: 2003,ISBN: 9780691113852
1,Term: Winter 18 | ,Name: MAT        207B            | ,Section: 001               | ,"Instructor: Saito, Naoki | ",Course ID: 60745           | ,Required                 ,BOUNDARY+EIGENVALUE PROB.MODERN PHYSICS,Author: SAGAN         ,Edition: 89     ,Published Date: 1989,ISBN: 9780486661322
2,Term: Winter 18 | ,Name: MAT        207B            | ,Section: 001               | ,"Instructor: Saito, Naoki | ",Course ID: 60745           | ,Optional                 ,INTRO.TO HILBERT SPACE                 ,Author: YOUNG         ,Edition: 88     ,Published Date: 1988,ISBN: 9780521337175
3,Term: Winter 18 | ,Name: MAT        215B            | ,Section: 001               | ,"Instructor: Dimofte, Tudor | ",Course ID: 60746           | ,Required                 ,ALGEBRAIC TOPOLOGY                     ,Author: HATCHER       ,Edition: 02     ,Published Date: 2002,ISBN: 9780521795401
4,Term: Winter 18 | ,Name: MAT        240A            | ,Section: 001               | ,"Instructor: Hass, Joel | ",Course ID: 60749           | ,Required                 ,RIEMANNIAN GEOMETRY                    ,Author: DOCARMO       ,Edition: 90     ,Published Date: 1990,ISBN: 9780817634902
5,Term: Winter 18 | ,Name: MAT        248B            | ,Section: 001               | ,"Instructor: Zahariuc, Adrian | ",Course ID: 74691           | ,Required                 ,ALGEBRAIC GEOMETRY                     ,Author: HARTSHORNE    ,Edition: 77     ,Published Date: 1977,ISBN: 9780387902449
6,Term: Winter 18 | ,Name: MAT        258B            | ,Section: 001               | ,"Instructor: Koeppe, Matthias | ",Course ID: 74692           | ,Required                 ,OPTIMIZATION OVER INTEGERS             ,Author: BERTS         ,Edition: JUNE   ,Published Date: NA,ISBN: 9780975914625
7,Term: Winter 18 | ,Name: MAT        261A            | ,Section: 001               | ,"Instructor: Schwarz, Albert | ",Course ID: 74693           | ,Optional                 ,"LIE GROUPS,LIE ALGEBRAS,+THEIR REPRES. ",Author: VARADARAJAN   ,Edition: (REV)84,Published Date: 1984,ISBN: 9780387909691
8,Term: Winter 18 | ,Name: MAT        271             | ,Section: 001               | ,"Instructor: Saito, Naoki | ",Course ID: 74695           | ,Optional                 ,DFT:OWNER'S MANUAL F/DISCRETE FOURIER..,Author: BRIGGS        ,Edition: 95     ,Published Date: 1995,ISBN: 9780898713428
9,Term: Winter 18 | ,Name: MAT        271             | ,Section: 001               | ,"Instructor: Saito, Naoki | ",Course ID: 74695           | ,Optional                 ,DISCOURSE ON FOURIER SERIES            ,Author: LANCZOS       ,Edition: ,Published Date: NA,ISBN: 9781611974515
10,Term: Winter 18 | ,Name: MAT        271             | ,Section: 001               | ,"Instructor: Saito, Naoki | ",Course ID: 74695           | ,Optional                 ,WAVELET TOUR OF SIGNAL PROCESSING      ,Author: MALLAT        ,Edition: 3RD 09 ,Published Date: 2009,ISBN: 9780123743701
11,Term: Winter 18 | ,Name: MAT        271             | ,Section: 001               | ,"Instructor: Saito, Naoki | ",Course ID: 74695           | ,Optional                 ,WAVELETS: TOOLS FOR SCIENCE+TECHNOLOGY ,Author: JAFFARD       ,Edition: (REV)01,Published Date: 2001,ISBN: 9780898714487
12,Term: Winter 18 | ,Name: MCB        120L            | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,MCB 120L LAB MANUAL W18                ,Author: HILT          ,Edition: ,Published Date: NA,ISBN: 2810050077703
13,Term: Winter 18 | ,Name: MCB        121             | ,Section: 001               | ,"Instructor: Juliano, Celina | ",Course ID: 61064           | ,Required                 ,MOLECULAR BIOLOGY:PRIN.+PRAC.          ,Author: COX           ,Edition: 2ND 15 ,Published Date: 2015,ISBN: 9781464126147
14,Term: Winter 18 | ,Name: MCB        140L            | ,Section: 001               | ,"Instructor: Kaplan, Kenneth | ",Course ID: 61067           | ,Required                 ,MCB 140L LAB MANUAL                    ,Author: KAPLAN/NUNNARI,Edition: ,Published Date: NA,ISBN: 2810050068893
15,Term: Winter 18 | ,Name: MCB        163             | ,Section: 001               | ,"Instructor: Rose, Lesilee | ",Course ID: 74462           | ,Optional                 ,DEVELOPMENTAL BIOLOGY                  ,Author: GILBERT       ,Edition: 10TH 14,Published Date: 2014,ISBN: 9780878939787
16,Term: Winter 18 | ,Name: MCB        164             | ,Section: 001               | ,"Instructor: Burgess, Sean | ",Course ID: 61070           | ,Required                 ,GENETIC ANALYSIS (CLOTH)               ,Author: MENEELY       ,Edition: 2ND 14 ,Published Date: 2014,ISBN: 9780199681266
17,Term: Winter 18 | ,Name: MCB        164             | ,Section: 001               | ,"Instructor: Burgess, Sean | ",Course ID: 61070           | ,Required                 ,GENETIC ANALYSIS (PAPER)               ,Author: MENEELY       ,Edition: 2ND 14 ,Published Date: 2014,ISBN: 9780199651818
18,Term: Winter 18 | ,Name: MCP        200L            | ,Section: 001               | ,"Instructor: Ross, Pablo | ",Course ID: 62494           | ,Optional                 ,CULTURE OF ANIMAL CELLS                ,Author: FRESHNEY      ,Edition: 7TH 16 ,Published Date: 2016,ISBN: 9781118873656
