,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: MGB        200A            | ,Section: 001               | ,"Instructor: SKAIFE, H | ",Course ID:                 | ,Required                 ,FINANCIAL ACCOUNTING                   ,Author: DYCKMAN       ,Edition: 5TH 17 ,Published Date: 2017,ISBN: 9781618531650
1,Term: Winter 18 | ,Name: MGB        265             | ,Section: 001               | ,"Instructor: YASUDA, A | ",Course ID:                 | ,Required                 ,VENTURE CAPITAL+FINANCE OF INNOVATION  ,Author: METRICK       ,Edition: 2ND 11 ,Published Date: 2011,ISBN: 9780470454701
2,Term: Winter 18 | ,Name: MGB        290             | ,Section: 001               | ,"Instructor: WUNDERMAN, J. | ",Course ID:                 | ,Required                 ,FIVE DYSFUNCTIONS OF A TEAM:LEADERSHIP ,Author: LENCIONI      ,Edition: 02     ,Published Date: 2002,ISBN: 9780787960759
3,Term: Winter 18 | ,Name: MGB        290             | ,Section: 001               | ,"Instructor: WUNDERMAN, J. | ",Course ID:                 | ,Required                 ,LEADERSHIP FROM THE INSIDE OUT         ,Author: CASHMAN       ,Edition: 3RD 17 ,Published Date: 2017,ISBN: 9781523094356
4,Term: Winter 18 | ,Name: MGB        290             | ,Section: 001               | ,"Instructor: WUNDERMAN, J. | ",Course ID:                 | ,Required                 ,TRIBAL LEADERSHIP                      ,Author: LOGAN         ,Edition: 08     ,Published Date: 2008,ISBN: 9780061251320
5,Term: Winter 18 | ,Name: MGB        297             | ,Section: ALL               | ,Instructor: TAHERIAN | ,Course ID:                 | ,Required                 ,BUILT FOR GLOBAL : NAVIGATING INTERNATI,"Author: GREGORY, JANET",Edition: ,Published Date: NA,ISBN: 9781545146668
6,Term: Winter 18 | ,Name: MGB        431             | ,Section: 001               | ,"Instructor: GOLDBERG, J | ",Course ID:                 | ,Required                 ,PROJECT MANAGEMENT CASE STUDIES        ,Author: KERZNER       ,Edition: 5TH 17 ,Published Date: 2017,ISBN: 9781119385974
7,Term: Winter 18 | ,Name: MGP        200A            | ,Section: ALL               | ,"Instructor: SKAIFE, H | ",Course ID:                 | ,Required                 ,FINANCIAL ACCOUNTING                   ,Author: DYCKMAN       ,Edition: 5TH 17 ,Published Date: 2017,ISBN: 9781618531650
8,Term: Winter 18 | ,Name: MGP        203B            | ,Section: 001               | ,"Instructor: TSAI, C | ",Course ID:                 | ,Required                 ,MGT 203B NOTES                         ,Author: TSAI          ,Edition: ,Published Date: NA,ISBN: 000000000000 
9,Term: Winter 18 | ,Name: MGP        203B            | ,Section: 001               | ,"Instructor: TSAI, C | ",Course ID:                 | ,Required                 ,MGT 203B NUMERICAL HANDOUTS            ,Author: TSAI          ,Edition: ,Published Date: NA,ISBN: 000000000000 
10,Term: Winter 18 | ,Name: MGP        203B            | ,Section: 001               | ,"Instructor: TSAI, C | ",Course ID:                 | ,Required                 ,STATISTICS F/MGMT.+ECON.-W/ACCESS      ,Author: KELLER        ,Edition: 11TH 18,Published Date: 2018,ISBN: 9781337093453
11,Term: Winter 18 | ,Name: MGP        265             | ,Section: 001               | ,"Instructor: YASUDA, A | ",Course ID:                 | ,Required                 ,VENTURE CAPITAL+FINANCE OF INNOVATION  ,Author: METRICK       ,Edition: 2ND 11 ,Published Date: 2011,ISBN: 9780470454701
12,Term: Winter 18 | ,Name: MGP        287             | ,Section: 001               | ,"Instructor: YANG, Y | ",Course ID:                 | ,Required                 ,TEACH YOURSELF SQL IN 10 MINUTES       ,Author: FORTA         ,Edition: 4TH 13 ,Published Date: 2013,ISBN: 9780672336072
13,Term: Winter 18 | ,Name: MGP        290             | ,Section: 001               | ,"Instructor: ANSBACH, C | ",Course ID:                 | ,Required                 ,AGE OF RESPONSIBILITY                  ,Author: VISSER        ,Edition: 11     ,Published Date: 2011,ISBN: 9780470688571
14,Term: Winter 18 | ,Name: MGP        290             | ,Section: 001               | ,"Instructor: ANSBACH, C | ",Course ID:                 | ,Required                 ,JUST GOOD BUSINESS                     ,Author: MCEKHANEY     ,Edition: 08     ,Published Date: 2008,ISBN: 9781576754412
15,Term: Winter 18 | ,Name: MGP        297             | ,Section: 001               | ,"Instructor: TAHERIAN, S | ",Course ID:                 | ,Required                 ,BUILT FOR GLOBAL : NAVIGATING INTERNATI,"Author: GREGORY, JANET",Edition: ,Published Date: NA,ISBN: 9781545146668
