,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: NRS        203             | ,Section: 001               | ,Instructor: ADAMS & GOLDIN | ,Course ID:                 | ,Required                 ,DIGNITY                                ,Author: HICKS         ,Edition: 11     ,Published Date: 2011,ISBN: 9780300188059
1,Term: Winter 18 | ,Name: NRS        203             | ,Section: 001               | ,Instructor: ADAMS & GOLDIN | ,Course ID:                 | ,Required                 ,GETTING TO YES (UPDATED+REVISED)       ,Author: FISHER        ,Edition: REV 11 ,Published Date: 2011,ISBN: 9780143118756
2,Term: Winter 18 | ,Name: NRS        203             | ,Section: 001               | ,Instructor: ADAMS & GOLDIN | ,Course ID:                 | ,Required                 ,LEADERSHIP CHALLENGE                   ,Author: KOUZES        ,Edition: 6TH 17 ,Published Date: 2017,ISBN: 9781119278962
3,Term: Winter 18 | ,Name: NRS        205B            | ,Section: 001               | ,Instructor: BELL | ,Course ID:                 | ,Required                 ,ESSENTIALS OF EPIDEMIOLOGY...-W/ACCESS ,Author: ASCHENGRAU    ,Edition: 3RD 14 ,Published Date: 2014,ISBN: 9781284028911
4,Term: Winter 18 | ,Name: NRS        210Y            | ,Section: 001               | ,Instructor: T.Y. KIM | ,Course ID:                 | ,Required                 ,HEALTH INFORMATICS                     ,Author: NELSON        ,Edition: 2ND 18 ,Published Date: 2018,ISBN: 9780323402316
5,Term: Winter 18 | ,Name: NRS        212             | ,Section: 001               | ,Instructor: K. KIM | ,Course ID:                 | ,Required                 ,CONCEPTUAL BLOCKBUSTING                ,Author: ADAMS         ,Edition: 4TH 01 ,Published Date: 2001,ISBN: 9780738205373
6,Term: Winter 18 | ,Name: NRS        251B            | ,Section: 001               | ,Instructor: HARVATH & SANDHOLDT | ,Course ID:                 | ,Required                 ,BASIC+CLINICAL ENDOCRINOLOGY           ,Author: GREENSPAN     ,Edition: 10TH 18,Published Date: 2018,ISBN: 9781259589287
7,Term: Winter 18 | ,Name: NRS        251B            | ,Section: 001               | ,Instructor: HARVATH & SANDHOLDT | ,Course ID:                 | ,Required                 ,FITZPATRICK'S COLOR ATLAS+SYNOPSIS...  ,Author: WOLFF         ,Edition: 8TH 17 ,Published Date: 2017,ISBN: 9781259642197
8,Term: Winter 18 | ,Name: NRS        251B            | ,Section: 001               | ,Instructor: HARVATH & SANDHOLDT | ,Course ID:                 | ,Required                 ,GUIDELINES F/NURSE PRACT.IN GYNECOLOGY ,Author: HAWKINS       ,Edition: 11TH 16,Published Date: 2016,ISBN: 9780826122827
9,Term: Winter 18 | ,Name: NRS        251B            | ,Section: 001               | ,Instructor: HARVATH & SANDHOLDT | ,Course ID:                 | ,Required                 ,MANAGING CONTRACEPTION 2017-2018       ,Author: ZIEMAN        ,Edition: 14TH 17,Published Date: 2017,ISBN: 9780692557341
10,Term: Winter 18 | ,Name: NRS        290             | ,Section: 001               | ,Instructor: BIGBEE | ,Course ID:                 | ,Required                 ,HOW TO WRITE MASTER'S THESIS           ,Author: BUI           ,Edition: 2ND 14 ,Published Date: 2014,ISBN: 9781452203515
11,Term: Winter 18 | ,Name: NRS        290             | ,Section: 002               | ,Instructor: DRAUGHON-MORET | ,Course ID:                 | ,Required                 ,PROMOTE YOURSELF                       ,Author: SCHAWBEL      ,Edition: 14     ,Published Date: 2014,ISBN: 9781250025685
12,Term: Winter 18 | ,Name: NRS        303             | ,Section: 001               | ,Instructor: STAFF | ,Course ID:                 | ,Required                 ,MASTERING THE TEACHING ROLE            ,Author: PENN          ,Edition: 08     ,Published Date: 2008,ISBN: 9780803618237
13,Term: Winter 18 | ,Name: NRS        425             | ,Section: 001               | ,Instructor: NICHOLS & SINGH | ,Course ID:                 | ,Required                 ,HOLDING SILVAN: A BRIEF LIFE           ,Author: WESOLOWSKA    ,Edition: 2013   ,Published Date: 2013,ISBN: 9780986000713
