,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: PHY        007A            | ,Section: ALL A & B         | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
1,Term: Winter 18 | ,Name: PHY        007A            | ,Section: ALL A & B         | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,PHY 7A F17                             ,Author: WEBB          ,Edition: ,Published Date: NA,ISBN: 9780738091587
2,Term: Winter 18 | ,Name: PHY        007B            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,PHY 7B F17                             ,Author: POTTER        ,Edition: ,Published Date: NA,ISBN: 9780738091433
3,Term: Winter 18 | ,Name: PHY        007C            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,PHY 7C F17                             ,Author: WEBB          ,Edition: ,Published Date: NA,ISBN: 9780738091440
4,Term: Winter 18 | ,Name: PHY        009HB           | ,Section: ALL               | ,"Instructor: RANGAMANI, M | ",Course ID:                 | ,Required                 ,SIX IDEAS THAT SHAPED PHYSICS UNIT T   ,Author: MOORE         ,Edition: ,Published Date: NA,ISBN: 9781260034066
5,Term: Winter 18 | ,Name: PHY        009HB           | ,Section: ALL               | ,"Instructor: RANGAMANI, M | ",Course ID:                 | ,Required                 ,SIX IDEAS THAT SHAPED PHYSICS:UNIT R...,Author: MOORE         ,Edition: 3RD 17 ,Published Date: 2017,ISBN: 9780077600952
6,Term: Winter 18 | ,Name: PHY        009HE           | ,Section: 001               | ,"Instructor: Vishik, Inna | ",Course ID: 67193           | ,Required                 ,MODERN PHYSICS                         ,Author: HARRIS        ,Edition: 2ND 08 ,Published Date: 2008,ISBN: 9780805303087
7,Term: Winter 18 | ,Name: PHY        010             | ,Section: ALL               | ,"Instructor: ZIMANYI, G | ",Course ID:                 | ,Required                 ,QUANTUM UNIVERSE                       ,Author: HEY           ,Edition: 2ND 04 ,Published Date: 2004,ISBN: 9780521564571
8,Term: Winter 18 | ,Name: PHY        105B            | ,Section: 001               | ,Instructor: Calderon De La Barca | ,Course ID: 67372           | ,Required                 ,INTRO.TO CLASSICAL MECHANICS           ,Author: MORIN         ,Edition: 07     ,Published Date: 2007,ISBN: 9780521876223
9,Term: Winter 18 | ,Name: PHY        110A            | ,Section: 001               | ,"Instructor: Scalettar, Richard | ",Course ID: 67373           | ,Required                 ,INTRO.TO ELECTRODYNAMICS               ,Author: GRIFFITHS     ,Edition: 4TH 13 ,Published Date: 2013,ISBN: 9780321856562
10,Term: Winter 18 | ,Name: PHY        116B            | ,Section: ALL               | ,"Instructor: PREBYS, E | ",Course ID:                 | ,Required                 ,ART OF ELECTRONICS                     ,Author: HOROWITZ      ,Edition: 3RD 15 ,Published Date: 2015,ISBN: 9780521809269
11,Term: Winter 18 | ,Name: PHY        130A            | ,Section: 001               | ,"Instructor: Pantic, Emilija | ",Course ID: 67378           | ,Required                 ,PARTICLE PHYSICS                       ,Author: MARTIN        ,Edition: 4TH 15 ,Published Date: 2015,ISBN: 9781118912164
12,Term: Winter 18 | ,Name: PHY        140A            | ,Section: 001               | ,"Instructor: Taufour, Valentin | ",Course ID: 67379           | ,Required                 ,INTRO.TO SOLID STATE PHYSICS           ,Author: KITTEL        ,Edition: 8TH 05 ,Published Date: 2005,ISBN: 9780471415268
