,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: POL        001             | ,Section: 001               | ,"Instructor: Simmons, Daniel | ",Course ID: 75029           | ,Required                 ,AMERICAN POLITICAL SYSTEM              ,Author: KOLLMAN       ,Edition: 3RD 17 ,Published Date: 2017,ISBN: 9780393283570
1,Term: Winter 18 | ,Name: POL        003             | ,Section: ALL A             | ,"Instructor: MCKIBBEN, H | ",Course ID:                 | ,Required                 ,ESSENTIALS OF INTERNATIONAL RELATIONS  ,Author: MINGST        ,Edition: 7TH 17 ,Published Date: 2017,ISBN: 9780393283402
2,Term: Winter 18 | ,Name: POL        051             | ,Section: 001               | ,"Instructor: Jackson, Jaime | ",Course ID: 69757           | ,Required                 ,FUND.OF POLITICAL SCIENCE RESEARCH     ,Author: KELLSTEDT     ,Edition: 2ND 13 ,Published Date: 2013,ISBN: 9781107621664
3,Term: Winter 18 | ,Name: POL        104             | ,Section: 001               | ,"Instructor: Huckfeldt, Rodger | ",Course ID: 74589           | ,Required                 ,GOVERNING CALIFORNIA                   ,Author: RARICK        ,Edition: 13     ,Published Date: 2013,ISBN: 9780877724438
4,Term: Winter 18 | ,Name: POL        104             | ,Section: 001               | ,"Instructor: Huckfeldt, Rodger | ",Course ID: 74589           | ,Required                 ,NEW IMMIGRATION FEDERALISM             ,Author: GULASEKARAM   ,Edition: 15     ,Published Date: 2015,ISBN: 9781107530867
5,Term: Winter 18 | ,Name: POL        104             | ,Section: 001               | ,"Instructor: Huckfeldt, Rodger | ",Course ID: 74589           | ,Required                 ,NEW POLITICAL GEOGRAPHY OF CALIFORNIA  ,Author: DOUZET        ,Edition: 08     ,Published Date: 2008,ISBN: 9780877724261
6,Term: Winter 18 | ,Name: POL        116             | ,Section: 001               | ,"Instructor: Satkunanandan, Shali | ",Course ID: 74592           | ,Required                 ,LETTER CONCERNING TOLERATION           ,Author: LOCKE         ,Edition: 83     ,Published Date: 1983,ISBN: 9780915145607
7,Term: Winter 18 | ,Name: POL        118C            | ,Section: 001               | ,"Instructor: Satkunanandan, Shali | ",Course ID: 74593           | ,Required                 ,MARX-ENGELS READER                     ,Author: TUCKER        ,Edition: 2ND 78 ,Published Date: 1978,ISBN: 9780393090406
8,Term: Winter 18 | ,Name: POL        118C            | ,Section: 001               | ,"Instructor: Satkunanandan, Shali | ",Course ID: 74593           | ,Required                 ,ON LIBERTY                             ,Author: MILL          ,Edition: 02     ,Published Date: 2002,ISBN: 9780486421308
9,Term: Winter 18 | ,Name: POL        118C            | ,Section: 001               | ,"Instructor: Satkunanandan, Shali | ",Course ID: 74593           | ,Required                 ,ON THE GENEALOGY OF MORALITY           ,Author: NIETZSCHE     ,Edition: 98     ,Published Date: 1998,ISBN: 9780872202832
10,Term: Winter 18 | ,Name: POL        118C            | ,Section: 001               | ,"Instructor: Satkunanandan, Shali | ",Course ID: 74593           | ,Required                 ,PRESENT AGE                            ,Author: KIERKEGAARD   ,Edition: 10     ,Published Date: 2010,ISBN: 9780061990038
11,Term: Winter 18 | ,Name: POL        118C            | ,Section: 001               | ,"Instructor: Satkunanandan, Shali | ",Course ID: 74593           | ,Required                 ,SOULS OF BLACK FOLK                    ,Author: DUBOIS        ,Edition: 09     ,Published Date: 2009,ISBN: 9780312650544
12,Term: Winter 18 | ,Name: POL        118C            | ,Section: 001               | ,"Instructor: Satkunanandan, Shali | ",Course ID: 74593           | ,Required                 ,VOCATION LECTURES                      ,Author: WEBER         ,Edition: 04     ,Published Date: 2004,ISBN: 9780872206656
13,Term: Winter 18 | ,Name: POL        122             | ,Section: 001               | ,"Instructor: Kinne, Brandon | ",Course ID: 69782           | ,Required                 ,TEXTBOOK ON INTERNATIONAL LAW          ,Author: DIXON         ,Edition: 7TH 13 ,Published Date: 2013,ISBN: 9780199574452
14,Term: Winter 18 | ,Name: POL        124             | ,Section: 001               | ,"Instructor: Money, Jeannette | ",Course ID: 69785           | ,Required                 ,HUMAN DEVELOPMENT REPORT 2016          ,Author: UNITED NATIONS,Edition: 16     ,Published Date: 2016,ISBN: 9789211264135
15,Term: Winter 18 | ,Name: POL        124             | ,Section: 001               | ,"Instructor: Money, Jeannette | ",Course ID: 69785           | ,Required                 ,INTRO.TO INTERNATIONAL DEVELOPMENT     ,Author: HASLAM        ,Edition: 3RD 17 ,Published Date: 2017,ISBN: 9780199018901
16,Term: Winter 18 | ,Name: POL        135             | ,Section: 001               | ,"Instructor: Maoz, Zeev | ",Course ID: 69787           | ,Required                 ,INTERNATIONAL RELATIONS OF MIDDLE EAST ,Author: FAWCETT       ,Edition: 4TH 16 ,Published Date: 2016,ISBN: 9780198708742
17,Term: Winter 18 | ,Name: POL        135             | ,Section: 001               | ,"Instructor: Maoz, Zeev | ",Course ID: 69787           | ,Required                 ,MODERN MIDDLE EAST:HISTORY             ,Author: GELVIN        ,Edition: 4TH 16 ,Published Date: 2016,ISBN: 9780190218867
18,Term: Winter 18 | ,Name: POL        135             | ,Section: 001               | ,"Instructor: Maoz, Zeev | ",Course ID: 69787           | ,Required                 ,THE NEW MIDDLE EAST                    ,Author: GELVIN        ,Edition: 2017   ,Published Date: 2017,ISBN: 9780190653989
19,Term: Winter 18 | ,Name: POL        147C            | ,Section: 001               | ,"Instructor: Adams, James | ",Course ID: 74596           | ,Required                 ,CITIZEN POLITICS:PUBLIC OPINION...     ,Author: DALTON        ,Edition: 6TH 14 ,Published Date: 2014,ISBN: 9781452203003
20,Term: Winter 18 | ,Name: POL        147C            | ,Section: 001               | ,"Instructor: Adams, James | ",Course ID: 74596           | ,Required                 ,FRENCH POLITICS+SOCIETY                ,Author: COLE          ,Edition: 3RD 18 ,Published Date: 2018,ISBN: 9781138941410
21,Term: Winter 18 | ,Name: POL        147D            | ,Section: 001               | ,"Instructor: Adams, James | ",Course ID: 74597           | ,Required                 ,CITIZEN POLITICS:PUBLIC OPINION...     ,Author: DALTON        ,Edition: 6TH 14 ,Published Date: 2014,ISBN: 9781452203003
22,Term: Winter 18 | ,Name: POL        147D            | ,Section: 001               | ,"Instructor: Adams, James | ",Course ID: 74597           | ,Required                 ,GERMAN POLITY                          ,Author: LANGENBACHER  ,Edition: 11TH 17,Published Date: 2017,ISBN: 9781442260573
23,Term: Winter 18 | ,Name: POL        162             | ,Section: 001               | ,"Instructor: Hare, Christopher | ",Course ID: 74601           | ,Required                 ,BLOODLANDS:EUROPE BETWEEN HITLER+STALIN,Author: SNYDER        ,Edition: 12     ,Published Date: 2012,ISBN: 9780465031474
24,Term: Winter 18 | ,Name: POL        162             | ,Section: 001               | ,"Instructor: Hare, Christopher | ",Course ID: 74601           | ,Required                 ,CONFLICT OF VISIONS                    ,Author: SOWELL        ,Edition: 07     ,Published Date: 2007,ISBN: 9780465002054
25,Term: Winter 18 | ,Name: POL        162             | ,Section: 001               | ,"Instructor: Hare, Christopher | ",Course ID: 74601           | ,Required                 ,CULTURE WARS                           ,Author: HUNTER        ,Edition: 91     ,Published Date: 1991,ISBN: 9780465015344
