,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: PSC        012Y            | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,SOC 012Y READER                        ,Author: REPRO         ,Edition: 2018   ,Published Date: 2018,ISBN: 000000000000 
1,Term: Winter 18 | ,Name: PSC        041             | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
2,Term: Winter 18 | ,Name: PSC        041             | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,RESEARCH METHODS IN PSYCHOLOGY(LOOSE)  ,Author: MORLING       ,Edition: 2ND 15 ,Published Date: 2015,ISBN: 9780393906103
3,Term: Winter 18 | ,Name: PSC        100             | ,Section: 001               | ,"Instructor: Long, Debra | ",Course ID: 70122           | ,Required                 ,COGNITION:EXPLORING...-W/ACCESS (CLOTH),Author: REISBERG      ,Edition: 6TH 16 ,Published Date: 2016,ISBN: 9780393938678
4,Term: Winter 18 | ,Name: PSC        101             | ,Section: 001               | ,"Instructor: Fox, Andrew | ",Course ID: 70123           | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
5,Term: Winter 18 | ,Name: PSC        101             | ,Section: 001               | ,"Instructor: Fox, Andrew | ",Course ID: 70123           | ,Required                 ,PHYSIOLOGY OF BEHAVIOR                 ,Author: CARLSON       ,Edition: 12TH 17,Published Date: 2017,ISBN: 9780134080918
6,Term: Winter 18 | ,Name: PSC        103A            | ,Section: A01               | ,"Instructor: Russo, Kimberly | ",Course ID: 70124           | ,Required                 ,STATISTICS                             ,Author: PECK          ,Edition: 7TH 12 ,Published Date: 2012,ISBN: 9780840058010
7,Term: Winter 18 | ,Name: PSC        103A            | ,Section: A02               | ,"Instructor: Russo, Kimberly | ",Course ID: 70125           | ,Required                 ,STATISTICS                             ,Author: PECK          ,Edition: 7TH 12 ,Published Date: 2012,ISBN: 9780840058010
8,Term: Winter 18 | ,Name: PSC        121             | ,Section: ALL               | ,"Instructor: KRUBITZER, L | ",Course ID:                 | ,Required                 ,BIOLOGICAL PSYCHOLOGY                  ,Author: BREEDLOVE     ,Edition: 7TH 13 ,Published Date: 2013,ISBN: 9780878939275
9,Term: Winter 18 | ,Name: PSC        121             | ,Section: ALL               | ,"Instructor: KRUBITZER, L | ",Course ID:                 | ,Required                 ,SHEEP BRAIN:PHOTOGRAPHIC SERIES        ,Author: VANDERWOLF    ,Edition: (2ND)90,Published Date: 1990,ISBN: 9780920700037
10,Term: Winter 18 | ,Name: PSC        125             | ,Section: 001               | ,"Instructor: Stolzenberg, Daniell | ",Course ID: 70135           | ,Required                 ,DEVELOPING GENOME                      ,Author: MOORE         ,Edition: 15     ,Published Date: 2015,ISBN: 9780199922345
11,Term: Winter 18 | ,Name: PSC        125             | ,Section: 001               | ,"Instructor: Stolzenberg, Daniell | ",Course ID: 70135           | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
12,Term: Winter 18 | ,Name: PSC        126             | ,Section: 001               | ,"Instructor: Emmons, Robert | ",Course ID: 70136           | ,Required                 ,MIND/BODY HEALTH                       ,Author: KARREN        ,Edition: 5TH 14 ,Published Date: 2014,ISBN: 9780321883452
13,Term: Winter 18 | ,Name: PSC        126             | ,Section: 001               | ,"Instructor: Emmons, Robert | ",Course ID: 70136           | ,Required                 ,"WHY ZEBRAS DON'T GET ULCERS,REV+UPD    ",Author: SAPOLSKY      ,Edition: 3RD 04 ,Published Date: 2004,ISBN: 9780805073690
14,Term: Winter 18 | ,Name: PSC        130             | ,Section: ALL               | ,"Instructor: RANGANATH, C | ",Course ID:                 | ,Required                 ,HUMAN MEMORY                           ,Author: NEATH         ,Edition: 2ND 03 ,Published Date: 2003,ISBN: 9780534595623
15,Term: Winter 18 | ,Name: PSC        132             | ,Section: 001               | ,"Instructor: Blalock, Adam | ",Course ID: 70140           | ,Required                 ,INTRO.TO PSYCHOLINGUISTICS             ,Author: TRAXLER       ,Edition: 12     ,Published Date: 2012,ISBN: 9781405198622
16,Term: Winter 18 | ,Name: PSC        140             | ,Section: 001               | ,"Instructor: Lagattuta, Kristin | ",Course ID: 70143           | ,Required                 ,DEVELOPMENT OF CHILDREN-TEXT           ,Author: LIGHTFOOT     ,Edition: 7TH 13 ,Published Date: 2013,ISBN: 9781429243285
17,Term: Winter 18 | ,Name: PSC        140             | ,Section: 001               | ,"Instructor: Lagattuta, Kristin | ",Course ID: 70143           | ,Required                 ,"OUR BABIES,OURSELVES                   ",Author: SMALL         ,Edition: 98     ,Published Date: 1998,ISBN: 9780385483629
18,Term: Winter 18 | ,Name: PSC        141             | ,Section: 001               | ,"Instructor: Ribeiro, Julia | ",Course ID: 74919           | ,Required                 ,CHILDREN'S THINKING                    ,Author: BJORKLUND     ,Edition: 6TH 18 ,Published Date: 2018,ISBN: 9781506334356
19,Term: Winter 18 | ,Name: PSC        141             | ,Section: 002               | ,"Instructor: San Souci, Priscilla | ",Course ID: 70145           | ,Required                 ,CHILDREN'S THINKING                    ,Author: BJORKLUND     ,Edition: 6TH 18 ,Published Date: 2018,ISBN: 9781506334356
20,Term: Winter 18 | ,Name: PSC        142             | ,Section: 001               | ,"Instructor: Herrington, Joshua | ",Course ID: 70146           | ,Required                 ,SOCIAL+PERSONALITY DEVELOPMENT         ,Author: SHAFFER       ,Edition: 6TH 09 ,Published Date: 2009,ISBN: 9780495600381
21,Term: Winter 18 | ,Name: PSC        142             | ,Section: 002               | ,"Instructor: Thompson, Ross | ",Course ID: 70147           | ,Required                 ,SOCIAL+PERSONALITY DEVELOPMENT         ,Author: SHAFFER       ,Edition: 6TH 09 ,Published Date: 2009,ISBN: 9780495600381
22,Term: Winter 18 | ,Name: PSC        143             | ,Section: 001               | ,"Instructor: Oakes, Lisa | ",Course ID: 74917           | ,Required                 ,DEVELOPMENT IN INFANCY:INTRO           ,Author: LAMB          ,Edition: 5TH 13 ,Published Date: 2013,ISBN: 9780805863635
23,Term: Winter 18 | ,Name: PSC        151             | ,Section: 001               | ,"Instructor: Gorchoff, Sara | ",Course ID: 70150           | ,Required                 ,SOCIAL PSYCHOLOGY-TEXT                 ,Author: ARONSON       ,Edition: 9TH 16 ,Published Date: 2016,ISBN: 9780133936544
24,Term: Winter 18 | ,Name: PSC        154             | ,Section: 001               | ,"Instructor: Bliss-Moreau, Eliza | ",Course ID: 70151           | ,Required                 ,HOW EMOTIONS ARE MADE : THE NEW SCIENCE,"Author: BARRETT, LISA ",Edition: ,Published Date: NA,ISBN: 9780544133310
25,Term: Winter 18 | ,Name: PSC        154             | ,Section: 001               | ,"Instructor: Bliss-Moreau, Eliza | ",Course ID: 70151           | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
26,Term: Winter 18 | ,Name: PSC        162             | ,Section: 001               | ,"Instructor: Bleidorn, Wiebke | ",Course ID: 70153           | ,Required                 ,PERSONALITY PUZZLE (PB)                ,Author: FUNDER        ,Edition: 7TH 16 ,Published Date: 2016,ISBN: 9780393600421
27,Term: Winter 18 | ,Name: PSC        168             | ,Section: 001               | ,"Instructor: Schepeler, Eva | ",Course ID: 70154           | ,Required                 ,UNQUIET MIND                           ,Author: JAMISON       ,Edition: 95     ,Published Date: 1995,ISBN: 9780679763307
