,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: SSC        202             | ,Section: ALL               | ,"Instructor: PARIKH, S | ",Course ID:                 | ,Required                 ,SOIL+WATER CHEMISTRY (CL)              ,Author: ESSINGTON     ,Edition: 2ND 15 ,Published Date: 2015,ISBN: 9781466573154
1,Term: Winter 18 | ,Name: STA        100             | ,Section: ALL A             | ,"Instructor: Lang, David | ",Course ID:                 | ,Required                 ,STATISTICS FOR LIFE SCIENCES           ,Author: SAMUELS       ,Edition: 5TH 16 ,Published Date: 2016,ISBN: 9780321989581
2,Term: Winter 18 | ,Name: STA        100             | ,Section: ALL A             | ,"Instructor: Lang, David | ",Course ID:                 | ,Special Order Only       ,STATISTICS FOR LIFE SCIENCES           ,Author: SAMUELS       ,Edition: 4TH 12 ,Published Date: 2012,ISBN: 9780321652805
3,Term: Winter 18 | ,Name: STA        100             | ,Section: ALL B             | ,"Instructor: MELCON, E | ",Course ID:                 | ,Optional                 ,STATISTICS FOR LIFE SCIENCES           ,Author: SAMUELS       ,Edition: 5TH 16 ,Published Date: 2016,ISBN: 9780321989581
4,Term: Winter 18 | ,Name: STA        103             | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,STATISTICS FOR ECONOMICS               ,Author: CANIGLIA      ,Edition: ,Published Date: NA,ISBN: 2810050003382
5,Term: Winter 18 | ,Name: STA        104             | ,Section: ALL               | ,"Instructor: CHEN, H | ",Course ID:                 | ,Required                 ,INTRO.TO MODERN NONPARAMETRIC STATISTIC,Author: HIGGINS       ,Edition: 04     ,Published Date: 2004,ISBN: 9780534387754
6,Term: Winter 18 | ,Name: STA        106             | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,APPLIED LINEAR STATISTICS MODELS       ,Author: KUTNER        ,Edition: ,Published Date: NA,ISBN: 2810050078090
7,Term: Winter 18 | ,Name: STA        108             | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,STA 108 READER                         ,Author: KUTNER        ,Edition: ,Published Date: NA,ISBN: 2810050069838
8,Term: Winter 18 | ,Name: STA        130B            | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,MATHEMATICAL STAT.+DATA ANAL.-W/CD     ,Author: RICE          ,Edition: 3RD 07 ,Published Date: 2007,ISBN: 9780534399429
9,Term: Winter 18 | ,Name: STA        131B            | ,Section: ALL               | ,"Instructor: MUELLER, H | ",Course ID:                 | ,Required                 ,PROBABILITY+STATISTICS                 ,Author: DEGROOT       ,Edition: 4TH 12 ,Published Date: 2012,ISBN: 9780321500465
10,Term: Winter 18 | ,Name: STA        135             | ,Section: ALL               | ,"Instructor: RAJARATNAM, B | ",Course ID:                 | ,Required                 ,APPLIED MULTIVARIATE STAT.ANALYSIS     ,Author: JOHNSON       ,Edition: 6TH 07 ,Published Date: 2007,ISBN: 9780131877153
11,Term: Winter 18 | ,Name: STA        137             | ,Section: ALL B             | ,"Instructor: BURMAN, P | ",Course ID:                 | ,Required                 ,INTRODUCTION TO TIME SERIES+FORECASTING,Author: BROCKWELL     ,Edition: 2ND 13 ,Published Date: 2013,ISBN: 9781475777505
12,Term: Winter 18 | ,Name: STA        138             | ,Section: ALL               | ,"Instructor: AZARI, A | ",Course ID:                 | ,Required                 ,CATEGORICAL DATA ANALYSIS              ,Author: AGRESTI       ,Edition: 3RD 13 ,Published Date: 2013,ISBN: 9780470463635
