,1,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
1,0.0,Term: Winter 18 | ,Name: CHA        101             | ,Section: 001               | ,"Instructor: GROSS, D | ",Course ID:                 | ,Required                 ,CHA 101 LAB MANUAL W18                 ,Author: GROSS         ,Edition: ,Published Date: NA,ISBN: 2810050078717
2,1.0,Term: Winter 18 | ,Name: CHA        101             | ,Section: 001               | ,"Instructor: GROSS, D | ",Course ID:                 | ,Optional                 ,ATLAS OF HUMAN ANATOMY-W/ACCESS        ,Author: NETTER        ,Edition: 6TH 14 ,Published Date: 2014,ISBN: 9781455704187
3,2.0,Term: Winter 18 | ,Name: CHA        101             | ,Section: 001               | ,"Instructor: GROSS, D | ",Course ID:                 | ,Optional                 ,ESSENTIAL CLINICAL ANATOMY-W/ACCESS    ,Author: MOORE         ,Edition: 5TH 15 ,Published Date: 2015,ISBN: 9781451187496
4,3.0,Term: Winter 18 | ,Name: CHA        101             | ,Section: 001               | ,"Instructor: GROSS, D | ",Course ID:                 | ,Optional                 ,GRANT'S ATLAS OF ANATOMY-W/ACCESS      ,Author: AGUR          ,Edition: 14TH 17,Published Date: 2017,ISBN: 9781469890685
5,4.0,Term: Winter 18 | ,Name: CHA        101             | ,Section: 001               | ,"Instructor: GROSS, D | ",Course ID:                 | ,Optional                 ,ANATOMY  -W/ACCESS                     ,Author: ROHEN         ,Edition: 8TH 16 ,Published Date: 2016,ISBN: 9781451193183
6,5.0,Term: Winter 18 | ,Name: CHA        101             | ,Section: 001               | ,"Instructor: GROSS, D | ",Course ID:                 | ,Optional                 ,ANATOMY COLORING BOOK                  ,Author: KAPIT         ,Edition: 4TH 14 ,Published Date: 2014,ISBN: 9780321832016
7,6.0,Term: Winter 18 | ,Name: CHA        101L            | ,Section: ALL               | ,"Instructor: GROSS, D | ",Course ID:                 | ,Required                 ,CHA 101L LAB MANUAL W18                ,Author: GROSS         ,Edition: ,Published Date: NA,ISBN: 2810050078700
8,7.0,Term: Winter 18 | ,Name: CHA        101L            | ,Section: ALL               | ,"Instructor: GROSS, D | ",Course ID:                 | ,Optional                 ,ATLAS OF HUMAN ANATOMY-W/ACCESS        ,Author: NETTER        ,Edition: 6TH 14 ,Published Date: 2014,ISBN: 9781455704187
9,8.0,Term: Winter 18 | ,Name: CHA        101L            | ,Section: ALL               | ,"Instructor: GROSS, D | ",Course ID:                 | ,Optional                 ,ESSENTIAL CLINICAL ANATOMY-W/ACCESS    ,Author: MOORE         ,Edition: 5TH 15 ,Published Date: 2015,ISBN: 9781451187496
